Distance_m,Altitude_m,Distance_km,Altitude_ft
0.00,222.35,0.000,729.49
16.13,216.18,0.016,709.25
26.49,214.16,0.026,702.62
37.17,212.10,0.037,695.87
47.30,214.19,0.047,702.72
58.25,215.50,0.058,707.02
68.65,214.73,0.069,704.49
78.75,219.93,0.079,721.56
94.80,222.32,0.095,729.40
